sku,popularity_rank
ASERLOLI01,92.6
ASERLSAH01,88.1
ASERLSEA01,93.9
ASERSOLI01,92.6
ASERSSAH01,88.1
ASERSSEA01,93.9
BBCAPOSFMMUL,0.6
BBSINWLTIE,14.5
BBSINWMTIE,14.5
BBTEEMMNAV,9.3
BBTEEMSNAV,9.3
BBTEEWMNAV,22.5
BBTEEWSNAV,22.5
BBTEEWXSNAV,22.5
BEANIEFRE01,18.6
BEANIEGLA01,60.5
BEANIEJET01,71.1
BEANIEJET02,26.4
BEANIETRO01,62.4
BSERLDEL01,61.4
BSERLEXO01,84.6
BSERLFLA02,44.1
BSERLORB01,94.2
BSERLSPE01,30.9
BSERLSTR01,83.0
BSERLTHI01,44.7
BSERSEXO01,84.6
BSERSMDEL01,61.4
BSERSMFLA02,44.1
BSERSMLIM01,33.4
BSERSMRAS01,13.8
BSERSMSPE01,30.9
BSERSMSTR01,83.0
BSERSMTHI01,44.7
BSERSMUMB01,14.8
BSERSORB01,94.2
BUCLJET01,98.4
BUCLLUM01,96.1
BUCSMJET01,98.4
BUCSMLUM01,96.1
CAPMDAY01,66.9
CAPMGAL01,71.7
CAPSTDARI01,97.7
CAPSTDJET01,97.4
CAPSTDLUM01,94.9
CAPSTDNEP01,87.1
CAPSTDSAH01,77.5
CAPTEEASH01,37.9
CPSERALL01,21.5
CPSERBUT01,1.6
CPSERCOS01,79.7
CPSEREXO01,82.3
CPSERSHO01,23.8
CPSERTHR01,80.1
CSERASH02,61.1
CSERCAN01,61.7
CSERGLI02,55.3
CTUSHIRTBALL,31.2
CTUSHIRTBALS,31.2
CTUSHIRTBALXS,31.2
CTUSHIRTCONL,48.9
CTUSHIRTCONM,48.9
CTUSHIRTCONS,48.9
CTUSHIRTCONXS,48.9
CTUSHIRTGOTS,28.6
CTUSHIRTGOTXS,28.6
Checkout_Plus,97.1
ESERALB01,39.2
ESERBLA01,99.0
ESERCHA01,94.5
ESERCIA01,3.2
ESEREXO01,87.8
ESERFLI02,73.6
ESERFUC01,91.6
ESERGRE02,65.9
ESERNOV01,90.7
ESEROCE01,80.7
ESERORB01,85.2
ESERSHR01,75.2
ESERSTR01,80.4
ESERTRA01,26.7
FLSHIRTMLNEP01,45.3
FLSHIRTMMJET01,18.0
FLSHIRTMMNEP01,45.3
FLSHIRTMSARI01,8.0
FLSHIRTMSJET01,18.0
FLSHIRTMSNEP01,45.3
FLSHIRTMXLNEP01,45.3
FLSHIRTMXSARI01,8.0
FLSHIRTMXSJET01,18.0
FLSHIRTMXSNEP01,45.3
FLSHIRTWLARI01,37.6
FLSHIRTWMARI01,37.6
FLSHIRTWMFLA01,30.2
FLSHIRTWMNEP01,51.1
FLSHIRTWSARI01,37.6
FLSHIRTWSFLA01,30.2
FLSHIRTWSNEP01,51.1
FLSHIRTWXLNEP01,51.1
FLSHIRTWXSARI01,37.6
FLSHIRTWXSNEP01,51.1
